"","customer_id","dim_campaign_key","event_type","event_date","amount","discount","trx_ref","prev_event_type","prev_event_date","days_from_prev","event_tag","event_year","campaign_start_date","campaign_end_date","response_time","num_of_m"
"1","18184323","4248","m",2017-04-06,-5000,0,"m163741623","0",NA,NA,"0_m",2017,2017-04-06,2017-05-03,NA,0
"2","18184323","4283","m",2017-04-13,-5000,0,"m164046257","m",2017-04-06,7,"m_m",2017,2017-04-13,2017-05-03,NA,1
"3","18184323","4329","m",2017-04-19,-5000,0,"m165466250","m",2017-04-13,6,"m_m",2017,2017-04-19,2017-05-03,NA,2
"4","18184323","4333","m",2017-04-27,-5000,0,"m166030386","m",2017-04-19,8,"m_m",2017,2017-04-27,2017-05-03,NA,3
"5","18184323","4383","m",2017-05-04,-5000,0,"m166656566","m",2017-04-27,7,"m_m",2017,2017-05-04,2017-05-17,NA,4
"6","18184323","4647","m",2017-07-06,-5000,0,"m169042385","m",2017-05-04,63,"m_m",2017,2017-07-06,2017-08-16,NA,5
"7","18184323","4711","m",2017-07-13,-5000,0,"m169431847","m",2017-07-06,7,"m_m",2017,2017-07-13,2017-08-16,NA,6
"8","18184323","0","p",2017-07-31,141750,47250,"p40510749","m",2017-07-13,18,"m_p",2017,NA,NA,18,7
"9","18184323","4877","m",2017-08-03,-5000,0,"m170866258","p",2017-07-31,3,"p_m",2017,2017-08-03,2017-08-16,NA,0
"10","18184323","4826","m",2017-08-10,-5000,0,"m171065936","m",2017-08-03,7,"m_m",2017,2017-08-10,2017-08-16,NA,1
"11","18184323","4856","m",2017-08-21,-5000,0,"m170427041","m",2017-08-10,11,"m_m",2017,2017-08-21,2017-09-06,NA,2
"12","18184323","4992","m",2017-08-28,-5000,0,"m172031976","m",2017-08-21,7,"m_m",2017,2017-08-28,2017-09-06,NA,3
"13","18184323","5028","m",2017-09-04,-5000,0,"m172170829","m",2017-08-28,7,"m_m",2017,2017-09-04,2017-09-06,NA,4
"14","18184323","5192","m",2017-09-18,-5000,0,"m173642949","m",2017-09-04,14,"m_m",2017,2017-09-18,2017-09-27,NA,5
"15","18184323","5232","m",2017-09-25,-5000,0,"m174142352","m",2017-09-18,7,"m_m",2017,2017-09-25,2017-10-04,NA,6
"16","18184323","5278","m",2017-10-16,-5000,0,"m175400364","m",2017-09-25,21,"m_m",2017,2017-10-16,2017-10-25,NA,7
"17","18184323","5380","m",2017-10-30,-5000,0,"m176036478","m",2017-10-16,14,"m_m",2017,2017-10-30,2017-11-08,NA,8
"18","18193958","4217","m",2017-04-06,-5000,0,"m164420103","0",NA,NA,"0_m",2017,2017-04-06,2017-05-03,NA,0
"19","18193958","4274","m",2017-04-13,-5000,0,"m163849782","m",2017-04-06,7,"m_m",2017,2017-04-13,2017-05-03,NA,1
"20","18193958","4334","m",2017-04-27,-5000,0,"m166311684","m",2017-04-13,14,"m_m",2017,2017-04-27,2017-05-03,NA,2
"21","18193958","4406","m",2017-05-04,-5000,0,"m166678443","m",2017-04-27,7,"m_m",2017,2017-05-04,2017-05-17,NA,3
"22","18193958","4652","m",2017-07-06,-5000,0,"m168985185","m",2017-05-04,63,"m_m",2017,2017-07-06,2017-08-16,NA,4
"23","18193958","4795","m",2017-07-20,-5000,0,"m169860770","m",2017-07-06,14,"m_m",2017,2017-07-20,2017-08-16,NA,5
"24","18193958","4884","m",2017-08-03,-5000,0,"m170540687","m",2017-07-20,14,"m_m",2017,2017-08-03,2017-08-16,NA,6
"25","18193958","4964","m",2017-08-24,-5000,0,"m171459964","m",2017-08-03,21,"m_m",2017,2017-08-24,2017-09-06,NA,7
"26","18193958","5266","m",2017-10-12,-5000,0,"m175300115","m",2017-08-24,49,"m_m",2017,2017-10-12,2017-10-25,NA,8
"27","18193958","5307","m",2017-10-19,-5000,0,"m175535320","m",2017-10-12,7,"m_m",2017,2017-10-20,2017-10-25,NA,9
"28","18245288","0","p",2017-04-05,477000,0,"p37770611","0",NA,NA,"0_p",2017,NA,NA,NA,0
"29","18245288","4213","m",2017-04-06,-5000,0,"m164915331","p",2017-04-05,1,"p_m",2017,2017-04-06,2017-05-03,NA,0
"30","18245288","4274","m",2017-04-13,-5000,0,"m165092453","m",2017-04-06,7,"m_m",2017,2017-04-13,2017-05-03,NA,1
"31","18245288","4327","m",2017-04-19,-5000,0,"m165895386","m",2017-04-13,6,"m_m",2017,2017-04-19,2017-05-03,NA,2
"32","18245288","4330","m",2017-04-27,-5000,0,"m165946552","m",2017-04-19,8,"m_m",2017,2017-04-27,2017-05-03,NA,3
"33","18245288","4394","m",2017-05-04,-5000,0,"m167250068","m",2017-04-27,7,"m_m",2017,2017-05-04,2017-05-17,NA,4
"34","18245288","0","p",2017-06-10,79200,19800,"p39164766","m",2017-05-04,37,"m_p",2017,NA,NA,37,5
"35","18245288","4650","m",2017-07-06,-5000,0,"m168877582","p",2017-06-10,26,"p_m",2017,2017-07-06,2017-08-16,NA,0
"36","18245288","4713","m",2017-07-13,-5000,0,"m169510110","m",2017-07-06,7,"m_m",2017,2017-07-13,2017-08-16,NA,1
"37","18245288","4806","m",2017-07-28,-5000,0,"m170743128","m",2017-07-13,15,"m_m",2017,2017-07-28,2017-08-16,NA,2
"38","18245288","0","p",2017-07-31,740250,24750,"p40517541","m",2017-07-28,3,"m_p",2017,NA,NA,3,3
"39","18245288","4880","m",2017-08-03,-5000,0,"m171045778","p",2017-07-31,3,"p_m",2017,2017-08-03,2017-08-16,NA,0
"40","18245288","0","p",2017-08-03,358000,0,"p40578156","m",2017-08-03,0,"m_p",2017,NA,NA,0,1
"41","18245288","0","p",2017-08-11,1156000,0,"p40741735","p",2017-08-03,8,"p_p",2017,NA,NA,NA,0
"42","18245288","0","p",2017-08-16,1005000,0,"p40863467","p",2017-08-11,5,"p_p",2017,NA,NA,NA,0
"43","18245288","4960","m",2017-08-24,-5000,0,"m171659732","p",2017-08-16,8,"p_m",2017,2017-08-24,2017-09-06,NA,0
"44","18245288","5060","m",2017-09-07,-5000,0,"m172348257","m",2017-08-24,14,"m_m",2017,2017-09-07,2017-09-27,NA,1
